Longitude,Latitude
44.04779244038609,39.35059740553785
43.82619455298654,39.39255537968529
43.71771683598578,39.551438553735366
43.59471352738161,39.70052014215951
43.42886947659833,39.81699415758429
43.32616448876445,39.96855642197022
43.09798758515226,40.0053074792392
42.86885899150386,39.97016059185303
42.640931516299744,39.929181677801644
42.41867591305216,39.87383657572769
42.19013037604829,39.835588728346394
42.1633339284717,39.71362410370046
42.02305190354003,39.584437202160075
41.80552467744264,39.520865307929775
41.58430698895279,39.4894533068092
41.395382367462126,39.39434733601316
41.24019312526529,39.428518600879094
41.20931524279181,39.603534152008244
41.26225574899951,39.77272999874349
41.36699963508513,39.93193269986949
41.47975247558065,40.081812104727604
41.676299483465435,40.16554890912155
41.91044484486699,40.17388190079255
42.081969565082005,40.29339539207384
42.29441634677064,40.36772663363473
42.489503691487805,40.422119903798894
42.555058200150704,40.58977050252662
42.562405266186225,40.741242041279165
42.35757258557413,40.81604312018052
42.331316069634084,40.984630396509715
42.36531465502897,41.13721260544416
42.54455106626351,41.25489725420874
42.53257185686633,41.41876088810234
42.53906952248163,41.588984993055625
42.411826197017085,41.73236339365623
42.52033304313199,41.80283526003339
42.757833972054954,41.82427346259034
42.99853748573043,41.83751777244234
43.23642358911613,41.866419066625085
43.4386105552748,41.96001969059377
43.54317972048665,42.121715309296484
43.63689657761434,42.287557049170495
43.789578681098746,42.4137287478549
43.86361502411476,42.56007014897995
43.768046268685666,42.68772552599891
43.632552345234785,42.815682229279105
43.41144266665325,42.88935383299208
43.183000676009144,42.9535061596925
43.01241408294204,43.07710951312076
42.80945025200218,43.17176072489792
42.56717089499188,43.17503988150705
42.4132572888653,43.301955601440746
42.44256016562143,43.47824243937166
42.38607239473951,43.6434577007887
42.214454123609706,43.77347697086289
42.123196091110465,43.90105606513415
42.24850032216692,44.05370934404583
42.32542793700118,44.224041030345994
42.33492450464247,44.40092165031049
42.28165165100695,44.53566541006903
42.29772635054479,44.66860130627742
42.13183552546719,44.786513458036694
42.05846120868439,44.9440582075322
41.92217197247056,45.07318446392831
42.09978845886239,45.198685325576314
42.31830758971911,45.266524193671174
42.5573265255722,45.31092659694827
42.684290470811995,45.4641301180128
42.66729094416739,45.63522477721759
42.8298906613298,45.75029000535346
43.03386137347809,45.85526524254931
43.268827946282315,45.89954183505868
43.52638596827013,45.889062443477386
43.78054306184597,45.85931633456593
44.0068060068136,45.89924281444382
44.23112116047361,45.98140494436139
44.282775775950746,46.154860425253176
44.136323378418595,46.293204828021494
44.01160794390373,46.440190469461925
43.90738494920699,46.56834038611083
44.16249005325566,46.57019332131811
44.30767911008495,46.67782148499979
44.27317672916819,46.85608757970327
44.26276890290032,47.03436338945293
44.24605984480214,47.18206589510038
44.35215229587733,47.33391594523866
44.27650825584084,47.50456498789555
44.27455637975823,47.679504903685356
44.17611734950181,47.79964059833693
44.26818624223189,47.967403534349664
44.30692486427958,48.137490531054866
44.177405706747074,48.290009000352946
44.28612005434627,48.42863975140006
44.31937632473944,48.58934369417579
44.304463204348174,48.74615902001022
44.4392117589689,48.9016145230485
44.54436920211201,49.06583769539551
44.67406773846011,49.19178368993177
44.83041836194972,49.318328983512174
44.90974704996332,49.479304098733294
44.78236373422061,49.633825644257065
44.87139990028003,49.800018480589536
45.0617154085164,49.9308374499994
45.20849938357366,50.081766435724596
45.352611006831054,50.23116130889182
45.49978193965229,50.382415025592934
45.62396903761595,50.51585306648586
45.51853848015541,50.67275002174666
45.59082410153208,50.84638976879773
45.734790267797834,50.99943570636991
45.66528133168556,51.14725264761825
45.693314050237184,51.32477289359556
45.78761578500402,51.49225894617004
45.61373608394796,51.59585600382324
45.672757433670654,51.76189661938853
45.54728373450139,51.91978473098
45.4859203363309,52.09163328885129
45.644140357975026,52.1962568674307
45.92966195490714,52.16053122849615
46.16524043954408,52.18165519393781
46.16732270170436,52.31203781091362
45.880577397373266,52.30573145793333
45.62998351696614,52.39722755549618
45.369463841796986,52.4441594377847
45.12044301281904,52.51548351427078
45.0994562134524,52.68350577324944
44.96145805293345,52.83707241868881
44.72119072323303,52.941895429769865
44.49388061385072,53.05745087417636
44.21833977211798,53.0401758041278
43.93080687721216,53.002291478480274
43.644490563100554,53.05334579585481
43.50207679524881,53.17065931211132
43.453627440718726,53.31169486384493
43.1869024687231,53.25771638650481
43.02214582548428,53.121114180690164
42.80460397548469,53.05961255727078
42.52998825966314,53.04289101681903
42.41015358475188,52.88206095483951
42.32521822395769,52.71083255554415
42.17703038430668,52.558769608421905
42.01362524732396,52.41066092313702
41.92932870168034,52.24054264764512
41.713740762140766,52.13087471626934
41.46439110337824,52.190332681709144
41.17918955635573,52.1924937650591
41.02487818233959,52.31909974603935
40.913420350315505,52.4792524671257
40.97288921142883,52.65511878599914
40.97343208031877,52.83166375640153
41.109318251408006,52.979783885263714
41.07318764953769,53.15510811727536
41.12962474094851,53.329656128390155
41.01240044213966,53.47037888416599
40.78723901192076,53.47195622768137
40.6855960545758,53.63737615075089
40.54415790323603,53.58248636944825
40.37712859162636,53.46959221447895
40.0966662444048,53.40951452943661
39.85944488328903,53.47176889927598
39.587692131684314,53.402945369434526
39.32292602709403,53.477897460883725
39.25721256879441,53.652779085049936
39.092098916377445,53.771887939507415
38.95945070586594,53.89558251845814
38.68805179577102,53.957786013222496
38.41434672346418,54.02699858214511
38.17592807347193,53.925717830780656
38.20768645269516,53.75576831950352
38.12012255368709,53.61354956006046
37.825118305909385,53.592725013276386
37.59518501475376,53.50812663964335
37.570599880470596,53.33552503923669
37.57270672076192,53.16364364767921
37.52144922582152,52.99309416484226
37.34668855476096,52.850327020515564
37.075142794248386,52.777749539852834
36.805383923367,52.747389803813846
36.59787080570379,52.61889615162182
36.45897629051504,52.47113189381631
36.243478164090924,52.36718429993198
35.97898514393324,52.38376273577649
35.713163984472274,52.456316468086115
35.4310733637204,52.4953106073375
35.26867708566346,52.63445257364616
34.98607613049745,52.67556528932752
34.97389901020395,52.80197402489428
35.087233653580654,52.95260344137094
35.19421387220132,53.10570164439876
35.016034747666886,53.2280517768983
34.76173067362568,53.317979650820945
34.64861297231707,53.44627405187154
34.765196434614964,53.61069456543228
34.571835377978104,53.73648221989404
34.58264129751824,53.91157540632145
34.78484007338074,54.043622863857024
34.849871689698865,54.21705618406883
34.70314286478904,54.374305433509036
34.433036083629574,54.42975849458793
34.21407251696195,54.33919631892129
33.92682290121359,54.36579044728266
33.63500801196675,54.391193294029605
33.37470160695015,54.352423198253234
33.26122772361376,54.514482991315326
33.22512889170384,54.68981691214823
33.266792514663344,54.86791698041724
33.22912772200643,55.03699034446786
33.08646831832234,55.19338116295606
33.02953237979391,55.369997373429065
33.25302292006602,55.41028383412632
33.27343528888515,55.562382374601334
33.37029138185362,55.719011907373115
33.6382514366104,55.81407473585791
33.707453639384646,55.961631555213195
